;"﻿""Code SP+ de la structure""";Intitulé du réseau;Intitulé de la typologie;Intitulé de la structure;Intitulé structure usager;Description de la structure;Identifiant de la structure;Type d'identifiant;Code SP+ structure parent;Intitulé de la structure parente;Adresse;Compléments Adresse;Code postal de la structure;Ville;PAYS;Codes Postaux;Départements;URL du site internet;Boîte à lettre fonctionnelle;Clé de tracking;Actif;Code sp+ de la typologie;INSEE Ville;INSEE Département;INSEE Région;INSEE Arrondissement
25;nXfu4Roq2S;POLE EMPLOI;AGENCE POLE EMPLOI (APE);DIGNE-PE;;DIGNE-PE;PAC0130;;TkkOwbToAT;DTD ALPES 04-05-PE;;;4000;DIGNE LES BAINS;France;;;;;;Oui;VBk7hCR4zw;com04070;dep04;reg93;arr04070
27;tt7bT96LE5;POLE EMPLOI;AGENCE POLE EMPLOI (APE);DIJON EST-PE;;DIJON EST-PE;BFC0067;;bBC9T5Ut3T;DTD 21 COTE-D'OR-PE;;;21800;QUETIGNY;France;;;;;;Oui;VBk7hCR4zw;com21515;dep21;reg27;arr21515
29;BHrt6vLI3S;POLE EMPLOI;AGENCE POLE EMPLOI (APE);DIJON SUD-PE;;DIJON SUD-PE;BFC0052;;bBC9T5Ut3T;DTD 21 COTE-D'OR-PE;;;21016;DIJON;France;;;;;;Oui;VBk7hCR4zw;com21231;dep21;reg27;arr21231
59;efwAJMVHZb;POLE EMPLOI;AGENCE POLE EMPLOI (APE);RENNES CENTRE-PE;;RENNES CENTRE-PE;BRE0076;;ZZuFUribqN;DTD RENNES COMMUNAUTES-PE;;;35069;RENNES;France;;;;;;Oui;VBk7hCR4zw;com35238;dep35;reg53;arr35238
61;5TW1qnN0b7;POLE EMPLOI;AGENCE POLE EMPLOI (APE);RENNES EST-PE;;RENNES EST-PE;BRE0081;;ZZuFUribqN;DTD RENNES COMMUNAUTES-PE;;;35067;RENNES;France;;;;;;Oui;VBk7hCR4zw;com35238;dep35;reg53;arr35238
63;JBzLBphiLt;POLE EMPLOI;AGENCE POLE EMPLOI (APE);RENNES NORD-PE;;RENNES NORD-PE;BRE0070;;ZZuFUribqN;DTD RENNES COMMUNAUTES-PE;;;35706;RENNES;France;;;;;;Oui;VBk7hCR4zw;com35238;dep35;reg53;arr35238
75;MQtkGFl1mR;POLE EMPLOI;AGENCE POLE EMPLOI (APE);RIVIERE SALEE-PE;;RIVIERE SALEE-PE;MAR0008;;uUWTMLGNti;DTD NORD-SUD-PE;;;97215;RIVIERE SALEE;France;;;;;;Oui;VBk7hCR4zw;com97221;dep972;reg02;arr97221
79;zRjqp8Rv4p;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ROMANS SUR ISERE-PE;;ROMANS SUR ISERE-PE;ARA0261;;nnKTMLOmxL;DTD DROME-PE;;;26105;ROMANS SUR ISERE;France;;;;;;Oui;VBk7hCR4zw;com26281;dep26;reg84;arr26281
81;xlSzmkrXJ0;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ROMILLY-SUR-SEINE-PE;;ROMILLY-SUR-SEINE-PE;GRE0062;;tJyjD6gKDm;DTD AUBE-HAUTE-MARNE-PE;;;10105;ROMILLY SUR SEINE;France;;;;;;Oui;VBk7hCR4zw;com10323;dep10;reg44;arr10323
83;pCCqDWOhU0;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ROMORANTIN-LANTHENAY-PE;;ROMORANTIN-LANTHENAY-PE;CEN0046;;MMuAC8TYJj;DTD PAYS DE LA SALAMANDRE 2019-PE;;;41200;ROMORANTIN LANTHENAY;France;;;;;;Oui;VBk7hCR4zw;com41194;dep41;reg24;arr41194
87;tfpGhjujFz;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ROSNY-SOUS-BOIS-PE;;ROSNY-SOUS-BOIS-PE;IDF0262;;Ri09n8wiF7;DTD 93 SEINE-SAINT-DENIS EST-PE;;;93110;ROSNY SOUS BOIS;France;;;;;;Oui;VBk7hCR4zw;com93064;dep93;reg11;arr93064
89;5d8tqZ8cGv;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ROUEN MAROMME-PE;;ROUEN MAROMME-PE;NOR0093;;Fmr3inUAWQ;DTD ROUEN-PE;;;76153;MAROMME;France;;;;;;Oui;VBk7hCR4zw;com76410;dep76;reg28;arr76410
91;sfIs71PW6K;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ROUEN QUEVILLY-PE;;ROUEN QUEVILLY-PE;NOR0103;;Fmr3inUAWQ;DTD ROUEN-PE;;;76123;LE GRAND QUEVILLY;France;;;;;;Oui;VBk7hCR4zw;com76322;dep76;reg28;arr76322
93;UGaUu6PNnD;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ROUEN SAINT SEVER-PE;;ROUEN SAINT SEVER-PE;NOR0090;;Fmr3inUAWQ;DTD ROUEN-PE;;;76175;ROUEN;France;;;;;;Oui;VBk7hCR4zw;com76540;dep76;reg28;arr76540
104;vgesSdHxbB;POLE EMPLOI;DTD POLE EMPLOI;DIRECTION DELEGUEE DE LA PRODUCTION-PE;;DIRECTION DELEGUEE DE LA PRODUCTION-PE;OCC1054;;39M46DoiF4;DT 34 HERAULT-PE;;;34967;MONTPELLIER;France;;;;;;Oui;XPvSnOu32K;com34172;dep34;reg76;arr34172
109;51XVKWRjcw;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SABLE SUR SARTHE-PE;;SABLE SUR SARTHE-PE;PDL0043;;M9sZlavnA7;DTD MAYENNE SUD-SARTHE-PE;;;72300;SABLE SUR SARTHE;France;;;;;;Oui;VBk7hCR4zw;com72264;dep72;reg52;arr72264
123;6OO48AYcqK;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT CHAMOND-PE;;SAINT CHAMOND-PE;ARA0233;;Mz6N7jMgMk;DTD LOIRE-PE;;;42403;SAINT-CHAMOND;France;;;;;;Oui;VBk7hCR4zw;com42207;dep42;reg84;arr42207
125;gReDYM0pl4;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT CLAUDE-PE;;SAINT CLAUDE-PE;BFC0089;;OsG8wW3Y5T;DTD 39/70 JURA HAUTE-SAONE-PE;;;39206;SAINT-CLAUDE;France;;;;;;Oui;VBk7hCR4zw;com97124;dep971;reg01;arr97124
130;VTKDUrfVOP;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT FONS-PE;;SAINT FONS-PE;ARA0138;;XZbklNz0p7;DTD RHONE SUD EST-PE;;;69191;SAINT-FONS;France;;;;;;Oui;VBk7hCR4zw;com69199;dep69;reg84;arr69199
134;nCAy3Nvtp8;POLE EMPLOI;AGENCE RELAIS POLE EMPLOI (RPE);SAINT GEORGES-PE;;SAINT GEORGES-PE;GUY0013;;5XrtOisBbk;DT 973 GUYANE-PE;;;97313;SAINT-GEORGES;France;;;;;;Oui;40u6qHhYe2;com97308;dep973;reg03;arr97308
138;RNqxKbas75;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT JEAN DE LUZ-PE;;SAINT JEAN DE LUZ-PE;NAQ0056;;OdFP08plzi;DTD PAYS BASQUE-PE;;;64500;SAINT-JEAN DE LUZ;France;;;;;;Oui;VBk7hCR4zw;com64483;dep64;reg75;arr64483
139;DRafkQaaqp;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT JOSEPH-PE;;SAINT JOSEPH-PE;REU0025;;seQsaxxxKs;DTD SO-PE;;;97480;SAINT-JOSEPH;France;;;;;;Oui;VBk7hCR4zw;com97412;dep974;reg04;arr97412
140;ED6YGpwmtH;POLE EMPLOI;AGENCE RELAIS POLE EMPLOI (RPE);SAINT JULIEN EN GENEVOIS-PE;;SAINT JULIEN EN GENEVOIS-PE;ARA0323;;o661On1pit;DT 74 HAUTE SAVOIE LEMAN-PE;;;74160;SAINT-JULIEN EN GENEVOIS;France;;;;;;Oui;40u6qHhYe2;com74243;dep74;reg84;arr74243
141;zqnJAUcRAy;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT LOUIS-PE;;SAINT LOUIS-PE;GRE0213;;wunZLSUwDS;DTD HAUT-RHIN MULHOUSE 3 FRONTIERES-PE;;;68300;SAINT-LOUIS;France;;;;;;Oui;VBk7hCR4zw;com68297;dep68;reg44;arr68297
142;OFY2zxUl8Y;POLE EMPLOI;AGENCE RELAIS POLE EMPLOI (RPE);SAINT MARCELLIN-PE;;SAINT MARCELLIN-PE;ARA0091;;Ly9vvJ5693;DTD NORD ISERE-PE;;;38160;SAINT-MARCELLIN;France;;;;;;Oui;40u6qHhYe2;com38416;dep38;reg84;arr38416
143;LbUXmGiUca;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT MARTIN D'HERES-PE;;SAINT MARTIN D'HERES-PE;ARA0110;;TK2uOgASS6;DTD SUD ISERE-PE;;;38403;SAINT-MARTIN-D'HÈRES;France;;;;;;Oui;VBk7hCR4zw;com38421;dep38;reg84;arr38421
148;iFefokPmO5;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT PIERRE DES CORPS-PE;;SAINT PIERRE DES CORPS-PE;CEN0037;;p4f0O3noMJ;DTD LOIRE ET VIGNES 2019-PE;;;37703;SAINT-PIERRE DES CORPS;France;;;;;;Oui;VBk7hCR4zw;com37233;dep37;reg24;arr37233
150;ISpxdqY2aM;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT PIERRE-PE;;SAINT PIERRE-PE;MAR0009;;J1wnlZ4lHZ;DTD CENTRE-NORD CARAIBES-PE;;;97250;SAINT-PIERRE;France;;;;;;Oui;VBk7hCR4zw;com97225;dep972;reg02;arr97225
152;mBNTcrQ335;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT PRIEST-PE;;SAINT PRIEST-PE;ARA0160;;XZbklNz0p7;DTD RHONE SUD EST-PE;;;69800;SAINT-PRIEST;France;;;;;;Oui;VBk7hCR4zw;com69290;dep69;reg84;arr69290
164;vFjrvmopQz;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT-AMAND-LES-EAUX-PE;;SAINT-AMAND-LES-EAUX-PE;HDF0097;;cFzyCR6Kmc;DTD HAINAUT-PE;;;59230;SAINT-AMAND LES EAUX;France;;;;;;Oui;VBk7hCR4zw;com59526;dep59;reg32;arr59526
166;xgTNIqNBJm;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT-ASTIER-PE;;SAINT-ASTIER-PE;NAQ0096;;ORmKfWxc50;DTD ISLE ET DORDOGNE-PE;;;24110;SAINT-ASTIER;France;;;;;;Oui;VBk7hCR4zw;com24372;dep24;reg75;arr24372
167;b500uDRrBS;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT-AVOLD-PE;;SAINT-AVOLD-PE;GRE0161;;kkh3BFSKGB;DTD BASSINS SIDERURGIQUE-HOUILLER-PE;;;57501;SAINT-AVOLD;France;;;;;;Oui;VBk7hCR4zw;com57606;dep57;reg44;arr57606
171;ChfzCbPN6B;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT-BRIEUC SUD-PE;;SAINT-BRIEUC SUD-PE;BRE0089;;BXy7yyPQal;DTD BAIE D'ARMOR-PE;;;22004;SAINT-BRIEUC;France;;;;;;Oui;VBk7hCR4zw;com22278;dep22;reg53;arr22278
198;GEsQVT2I3E;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT-MALO-PE;;SAINT-MALO-PE;BRE0069;;YA3oQoFI2A;DTD HAUTE BRETAGNE-PE;;;35418;SAINT-MALO;France;;;;;;Oui;VBk7hCR4zw;com35288;dep35;reg53;arr35288
199;UbZxcLuhio;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT-MARTIN-BOULOGNE-PE;;SAINT-MARTIN-BOULOGNE-PE;HDF0148;;98G7rEnz6v;DTD NORD-ARTOIS COTE D'OPALE-PE;;;62280;SAINT-MARTIN BOULOGNE;France;;;;;;Oui;VBk7hCR4zw;com62758;dep62;reg32;arr62758
202;igWuwoSHaB;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINT-MAUR-DES-FOSSES-PE;;SAINT-MAUR-DES-FOSSES-PE;IDF0282;;kU7v7BSZlz;DTD 94 VAL-DE-MARNE EST-PE;;;94100;SAINT-MAUR DES FOSSES;France;;;;;;Oui;VBk7hCR4zw;com94068;dep94;reg11;arr94068
224;XXnYsZ762A;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINTE ROSE-PE;;SAINTE ROSE-PE;GUA0012;;dbCJOCgyCb;DT 971 BASSE-TERRE ET MARIE-GALANTE-PE;;;97115;SAINTE-ROSE;France;;;;;;Oui;VBk7hCR4zw;com97129;dep971;reg01;arr97129
225;J5VkgfPV3a;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINTE-GENEVIEVE-DES-BOIS-PE;;SAINTE-GENEVIEVE-DES-BOIS-PE;IDF0153;;y4MdHz6k7d;DTD 91 ESSONNE OUEST-PE;;;91700;SAINTE-GENEVIEVE DES BOIS;France;;;;;;Oui;VBk7hCR4zw;com91549;dep91;reg11;arr91549
227;bW1FIZ9bGE;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAINTE-MARIE-PE;;SAINTE-MARIE-PE;MAR0010;;uUWTMLGNti;DTD NORD-SUD-PE;;;97230;SAINTE-MARIE;France;;;;;;Oui;VBk7hCR4zw;com97228;dep972;reg02;arr97228
236;J9oNzp9CMU;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SARLAT-PE;;SARLAT-PE;NAQ0103;;T5XQH4JcWm;DTD VEZERE ET CORREZE-PE;;;24200;SARLAT LA CANEDA;France;;;;;;Oui;VBk7hCR4zw;com24520;dep24;reg75;arr24520
237;cS0X8VWmyf;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SARREBOURG-PE;;SARREBOURG-PE;GRE0156;;k8D2b7TNds;DTD METROPOLE DE METZ-PE;;;57403;SARREBOURG;France;;;;;;Oui;VBk7hCR4zw;com57630;dep57;reg44;arr57630
238;aaBeyAGX2P;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SARTROUVILLE-PE;;SARTROUVILLE-PE;IDF0381;;G8I6oZSpRv;DTD 78 YVELINES CENTRE EST-PE;;;78500;SARTROUVILLE;France;;;;;;Oui;VBk7hCR4zw;com78586;dep78;reg11;arr78586
241;I3tTNOGOdj;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAUMUR-PE;;SAUMUR-PE;PDL0115;;osBFC4FDx7;DTD HORS ANGERS-PE;;;49400;SAUMUR;France;;;;;;Oui;VBk7hCR4zw;com49328;dep49;reg52;arr49328
244;ay7giDl6Vs;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SAVIGNY-LE-TEMPLE-PE;;SAVIGNY-LE-TEMPLE-PE;IDF0345;;3dKoR4mh6o;DTD 77 SEINE-ET-MARNE SUD-PE;;;77176;SAVIGNY LE TEMPLE;France;;;;;;Oui;VBk7hCR4zw;com77445;dep77;reg11;arr77445
247;ayvjCmLEF8;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SCHILTIGHEIM-PE;;SCHILTIGHEIM-PE;GRE0193;;kQiNXkNItg;DTD BASSIN DE STRASBOURG-PE;;;67300;SCHILTIGHEIM;France;;;;;;Oui;VBk7hCR4zw;com67447;dep67;reg44;arr67447
253;k9hAEEGBlJ;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SECLIN-PE;;SECLIN-PE;HDF0055;;BrDcTPt6yt;DTD LILLE-PE;;;59113;SECLIN;France;;;;;;Oui;VBk7hCR4zw;com59560;dep59;reg32;arr59560
356;mWgHIpDR5T;POLE EMPLOI;DR POLE EMPLOI;DR CENTRE-VAL DE LOIRE-PE;;DR CENTRE-VAL DE LOIRE-PE;CEN0001;;L8mRmZDT2r;DIRECTION GENERALE-PE;;;45035;ORLEANS;France;;;;;;Oui;STU9f9epf6;com45234;dep45;reg24;arr45234
360;CfFpIVsosQ;POLE EMPLOI;DR POLE EMPLOI;DR NOUVELLE-AQUITAINE-PE;;DR NOUVELLE-AQUITAINE-PE;NAQ0001;;L8mRmZDT2r;DIRECTION GENERALE-PE;;;33056;BORDEAUX;France;;;;;;Oui;STU9f9epf6;com33063;dep33;reg75;arr33063
363;EbvcJ9vJdm;POLE EMPLOI;DR POLE EMPLOI;DR PROVENCE ALPES COTE D'AZUR-PE;;DR PROVENCE ALPES COTE D'AZUR-PE;PAC0001;;L8mRmZDT2r;DIRECTION GENERALE-PE;;;13395;MARSEILLE 10;France;;;;;;Oui;STU9f9epf6;com13055;dep13;reg93;arr13055-95
398;JyGAFeoGnd;POLE EMPLOI;DT POLE EMPLOI;DT 02/80 AISNE-SOMME-PE;;DT 02/80 AISNE - SOMME-PE;HDF1058;;Q0pv3BKVOA;DR HAUTS-DE-FRANCE-PE;;;80000;AMIENS;France;;80.0;;;;Oui;wYYbB0zJE3;com80021;dep80;reg32;arr80021
400;tFriwPVdeV;POLE EMPLOI;DT POLE EMPLOI;DT 04/05 ALPES-DE-HAUTE-PROVENCE HAUTES-ALPES-PE;;DT 04/05 ALPES-DE-HAUTE-PROVENCE HAUTES-ALPES-PE;PAC0125;;EbvcJ9vJdm;DR PROVENCE ALPES COTE D'AZUR-PE;;;5000;GAP;France;;5.0;;;;Oui;wYYbB0zJE3;com05061;dep05;reg93;arr05061
402;ORxYp4ccm6;POLE EMPLOI;DT POLE EMPLOI;DT 09/11 ARIEGE AUDE-PE;;DT 09/11 ARIEGE AUDE-PE;OCC1034;;mYx3ceTOIx;DR OCCITANIE-PE;;;11000;CARCASSONNE;France;;11.0;;;;Oui;wYYbB0zJE3;com11069;dep11;reg76;arr11069
404;65la6esV0t;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SEDAN-PE;;SEDAN-PE;GRE0050;;r2ZVWSdtrL;DT 08 ARDENNES-PE;;;8206;SEDAN;France;;;;;;Oui;VBk7hCR4zw;com08409;dep08;reg44;arr08409
405;wdA5YVaSIb;POLE EMPLOI;PFP POLE EMPLOI;SEDP CHARLEBOURG-PE;;SEDP CHARLEBOURG-PE;PES0005;;TZ0Ldw7gVs;DTC DIRECTION SERVICES AUX D.E.-PE;;;92709;COLOMBES;France;;;;;;Oui;ARovVA6I9H;com92025;dep92;reg11;arr92025
406;7NwrMZxnQ5;POLE EMPLOI;PFP POLE EMPLOI;SEDP CHAVANOD-PE;;SEDP CHAVANOD-PE;PES0006;;TZ0Ldw7gVs;DTC DIRECTION SERVICES AUX D.E.-PE;;;74650;CHAVANOD;France;;;;;;Oui;ARovVA6I9H;com74067;dep74;reg84;arr74067
408;ipEn4pt45l;POLE EMPLOI;AGENCE POLE EMPLOI (APE);SEGRE-PE;;SEGRE-PE;PDL0119;;osBFC4FDx7;DTD HORS ANGERS-PE;;;49500;SEGRE EN ANJOU BLEU;France;;;;;;Oui;VBk7hCR4zw;com49331;dep49;reg52;arr49331
423;FHzTMi5jig;POLE EMPLOI;PFP POLE EMPLOI;SERVICE CONTENTIEUX-PE;;SERVICE CONTENTIEUX-PE;OCC0863;;mYx3ceTOIx;DR OCCITANIE-PE;;;31131;BALMA;France;;;;;;Oui;ARovVA6I9H;com31044;dep31;reg76;arr31044
455;NUd6V7nUyi;POLE EMPLOI;DT POLE EMPLOI;DT 12/81 AVEYRON-TARN-PE;;DT 12/81 AVEYRON-TARN-PE;OCC0003;;mYx3ceTOIx;DR OCCITANIE-PE;;;81000;ALBI;France;;81.0;;;;Oui;wYYbB0zJE3;com81004;dep81;reg76;arr81004
458;aXUk2m9HeF;POLE EMPLOI;DT POLE EMPLOI;DT 22 COTES D'ARMOR-PE;;DT 22 COTES D'ARMOR-PE;BRE0082;;TT36uVh7th;DR BRETAGNE-PE;;;22045;SAINT-BRIEUC;France;;22.0;;;;Oui;wYYbB0zJE3;com22278;dep22;reg53;arr22278
462;39M46DoiF4;POLE EMPLOI;DT POLE EMPLOI;DT 34 HERAULT-PE;;DT 34 HERAULT-PE;OCC0168;;mYx3ceTOIx;DR OCCITANIE-PE;;;34000;MONTPELLIER;France;;34.0;;;;Oui;wYYbB0zJE3;com34172;dep34;reg76;arr34172
467;1ZRR3j3V7A;POLE EMPLOI;DT POLE EMPLOI;DT 62 PAS DE CALAIS-PE;;DT 62 PAS DE CALAIS-PE;HDF0122;;Q0pv3BKVOA;DR HAUTS-DE-FRANCE-PE;;;62000;ARRAS;France;;62.0;;;;Oui;wYYbB0zJE3;com62041;dep62;reg32;arr62041
471;o661On1pit;POLE EMPLOI;DT POLE EMPLOI;DT 74 HAUTE SAVOIE LEMAN-PE;;DT 74 HAUTE SAVOIE LEMAN-PE;ARA0166;;TSiszqwjIr;DR AUVERGNE-RHONE-ALPES-PE;;;74601;ANNECY;France;;74.0;;;;Oui;wYYbB0zJE3;com74010;dep74;reg84;arr74010
473;Y5iKbsChwc;POLE EMPLOI;DT POLE EMPLOI;DT 75 PARIS-PE;;DT 75 PARIS-PE;IDF0034;;fShcn1EOkd;DR ILE DE FRANCE-PE;;;75019;PARIS 19;France;;75.0;;;;Oui;wYYbB0zJE3;com75056;dep75;reg11;arr75056-19
475;5HrYffQGOW;POLE EMPLOI;DT POLE EMPLOI;DT 84 VAUCLUSE-PE;;DT 84 VAUCLUSE-PE;PAC0100;;EbvcJ9vJdm;DR PROVENCE ALPES COTE D'AZUR-PE;;;84000;AVIGNON;France;;84.0;;;;Oui;wYYbB0zJE3;com84007;dep84;reg93;arr84007
478;l4TrTE4mTD;POLE EMPLOI;DT POLE EMPLOI;DT 93 SEINE-SAINT-DENIS-PE;;DT 93 SEINE-SAINT-DENIS-PE;IDF0206;;fShcn1EOkd;DR ILE DE FRANCE-PE;;;93160;NOISY LE GRAND;France;;93.0;;;;Oui;wYYbB0zJE3;com93051;dep93;reg11;arr93051
480;dbCJOCgyCb;POLE EMPLOI;DT POLE EMPLOI;DT 971 BASSE-TERRE ET MARIE-GALANTE-PE;;DT 971 BASSE-TERRE ET MARIE-GALANTE-PE;GUA0186;;EWJoiJL8eo;DR GUADELOUPE-PE;;;97120;SAINT-CLAUDE;France;;971.0;;;;Oui;wYYbB0zJE3;com97124;dep971;reg01;arr97124
486;bBC9T5Ut3T;POLE EMPLOI;DTD POLE EMPLOI;DTD 21 COTE-D'OR-PE;;DTD 21 COTE-D'OR-PE;BFC0615;;GbggyRcYLQ;DT 21 COTE-D'OR-PE;;;21800;QUETIGNY;France;;;;;;Oui;XPvSnOu32K;com21515;dep21;reg27;arr21515
488;efxVZu39Ez;POLE EMPLOI;DTD POLE EMPLOI;DTD 54/55 NORD OUEST-PE;;DTD 54/55 NORD OUEST-PE;GRE1111;;QTXU6wmlLo;DT 54/55 MEURTHE ET MOSELLE-MEUSE-PE;;;54032;NANCY;France;;;;;;Oui;XPvSnOu32K;com54395;dep54;reg44;arr54395
491;G8I6oZSpRv;POLE EMPLOI;DTD POLE EMPLOI;DTD 78 YVELINES CENTRE EST-PE;;DTD 78 YVELINES CENTRE EST-PE;IDF0401;;GOihZUCkRf;DT 78 YVELINES-PE;;;78280;GUYANCOURT;France;;;;;;Oui;XPvSnOu32K;com78297;dep78;reg11;arr78297
494;0SvX09WVsm;POLE EMPLOI;DTD POLE EMPLOI;DTD 91 ESSONNE EST-PE;;DTD 91 ESSONNE EST-PE;IDF0392;;8DufUccwQl;DT 91 ESSONNE-PE;;;91000;EVRY COURCOURONNES;France;;;;;;Oui;XPvSnOu32K;com91228;dep91;reg11;arr91228
499;FfnLStcN9Q;POLE EMPLOI;DTD POLE EMPLOI;DTD AIN-PE;;DTD AIN-PE;ARA0299;;9kEZzlZj15;DT 01/73 AIN SAVOIE-PE;;;1960;PERONNAS;France;;;;;;Oui;XPvSnOu32K;com01289;dep01;reg84;arr01289
502;TkkOwbToAT;POLE EMPLOI;DTD POLE EMPLOI;DTD ALPES 04-05-PE;;DTD ALPES 04-05-PE;PAC0180;;tFriwPVdeV;DT 04/05 ALPES-DE-HAUTE-PROVENCE HAUTES-ALPES-PE;;;5000;GAP;France;;;;;;Oui;XPvSnOu32K;com05061;dep05;reg93;arr05061
504;SqKTc5rgQn;POLE EMPLOI;DTD POLE EMPLOI;DTD ANGERS-PE;;DTD ANGERS-PE;PDL0130;;PJyQNJmeqY;DT 49 MAINE ET LOIRE-PE;;;49004;ANGERS;France;;;;;;Oui;XPvSnOu32K;com49007;dep49;reg52;arr49007
507;MGFFNjoi4O;POLE EMPLOI;DTD POLE EMPLOI;DTD BASSIN HAUT-VAR EST-VAR-PE;;DTD BASSIN HAUT-VAR EST-VAR-PE;PAC0854;;CpI5zs8pUu;DT 83 VAR-PE;;;83000;TOULON;France;;;;;;Oui;XPvSnOu32K;com83137;dep83;reg93;arr83137
511;ncxSLQhWka;POLE EMPLOI;DTD POLE EMPLOI;DTD CREUSE HAUTE-VIENNE-PE;;DTD CREUSE HAUTE-VIENNE-PE;NAQ1041;;PpQ5j6LFBA;DT 23/87 CREUSE HAUTE-VIENNE-PE;;;87000;LIMOGES;France;;;;;;Oui;XPvSnOu32K;com87085;dep87;reg75;arr87085
516;fkcFtU3LVw;POLE EMPLOI;DTD POLE EMPLOI;DTD GARD LOZERE 1-PE;;DTD GARD LOZERE 1-PE;OCC1032;;rUvaLqx0hT;DT 30/48 GARD-LOZERE-PE;;;30000;NIMES;France;;;;;;Oui;XPvSnOu32K;com30189;dep30;reg76;arr30189
519;wunZLSUwDS;POLE EMPLOI;DTD POLE EMPLOI;DTD HAUT-RHIN MULHOUSE 3 FRONTIERES-PE;;DTD HAUT-RHIN MULHOUSE 3 FRONTIERES-PE;GRE1101;;2nnUmeJPsa;DT 68 HAUT RHIN-PE;;;68100;MULHOUSE;France;;;;;;Oui;XPvSnOu32K;com68224;dep68;reg44;arr68224
521;vYnDzz4wlz;POLE EMPLOI;DTD POLE EMPLOI;DTD HAUTE-GARONNE INTRA-MUROS-PE;;DTD HAUTE-GARONNE INTRA-MUROS-PE;OCC0222;;oyQgViuNSA;DT 31 HAUTE GARONNE-PE;;;31300;TOULOUSE;France;;;;;;Oui;XPvSnOu32K;com31555;dep31;reg76;arr31555
524;osBFC4FDx7;POLE EMPLOI;DTD POLE EMPLOI;DTD HORS ANGERS-PE;;DTD HORS ANGERS-PE;PDL0131;;PJyQNJmeqY;DT 49 MAINE ET LOIRE-PE;;;49004;ANGERS;France;;;;;;Oui;XPvSnOu32K;com49007;dep49;reg52;arr49007
526;ORmKfWxc50;POLE EMPLOI;DTD POLE EMPLOI;DTD ISLE ET DORDOGNE-PE;;DTD ISLE ET DORDOGNE-PE;NAQ1039;;CN8LyM40cf;DT 19/24 DORDOGNE CORREZE-PE;;;24016;PERIGUEUX;France;;;;;;Oui;XPvSnOu32K;com24322;dep24;reg75;arr24322
528;mXfnQyzO1w;POLE EMPLOI;DTD POLE EMPLOI;DTD LA ROCHE ET LITTORAL-PE;;DTD LA ROCHE ET LITTORAL-PE;PDL0134;;j1pftDIVWO;DT 85 VENDEE-PE;;;85003;LA ROCHE SUR YON;France;;;;;;Oui;XPvSnOu32K;com85191;dep85;reg52;arr85191
533;BrDcTPt6yt;POLE EMPLOI;DTD POLE EMPLOI;DTD LILLE-PE;;DTD LILLE-PE;HDF1064;;xojvoYSnz1;DT 59 NORD-PE;;;59000;LILLE;France;;;;;;Oui;XPvSnOu32K;com59350;dep59;reg32;arr59350
541;IlgHqM8nON;POLE EMPLOI;DTD POLE EMPLOI;DTD NANTES VILLE-PE;;DTD NANTES VILLE-PE;PDL0127;;A3jp6vRg1g;DT 44 LOIRE ATLANTIQUE-PE;;;44402;REZE;France;;;;;;Oui;XPvSnOu32K;com44143;dep44;reg52;arr44143
