rate,review_text,object_address,sentiment,cleaned_text
1,Pas de formation possible Pas de financement possible refus sur refus de parcours Et rendez vous régulier inutile. Dire que soit disant on est la pour Aider les chômeurs a être réactif. Absurde !,"5 Rue de Quimper, 68100 Mulhouse",0,formation financement refus refus parcours inutile chômeur réactif absurde
1,"Aucun respect, j’explique pourtant bien mon soucis mais on fait exprès de ne pas comprendre et de faire tourner en rond. Pourtant tout les document son fourni.","5 Rue de Quimper, 68100 Mulhouse",0,aucun respect pourtant bien souci faire rond pourtant document fourni
1,"Les fonctionnaires incompétents, arrogants et prétentieux, ils ont transformé pôle emploi comme un bunker, traitant les pauvres chômeurs comme des citoyens de cinquième classe, nous obligeant à mendier nos droits.","5 Rue de Quimper, 68100 Mulhouse",0,fonctionnaire incompétent arrogant prétentieux pôle bunker pauvre chômeur citoyen classe droit
1,"Aucun respect, j’explique pourtant bien mon soucis mais on fait exprès de ne pas comprendre. Un air hautain et discriminant. Je ne souhaite pas à ses personnes de rencontrer quelconque soucis de la vie, à moins qu’ils en accumulent tellement que c’est leur façon de se venger de leur vies médiocres, ennuyeuses, déprimantes.","5 Rue de Quimper, 68100 Mulhouse",0,aucun respect pourtant bien souci air hautain discriminant souci vie accumuler vie médiocre ennuyeuse déprimante
1,"Si je pouvais ne pas mettre d'étoiles je n'en mettrais pas, conseillère des indemnisations hyper désagréable. Des que j'ai décroché le téléphone elle a été agressive avec un air agacé. J'ai voulu qu'elle me rappel pour avoir des info en plus de notre échange par mail. Elle a été méprisante je cite : ""mais je vous l'ai écris par mail, qu'est ce que vous ne comprenez pas?""  ce permet de juger les gens et de faire des commentaires du genre ""il y a une chose a faire dans le mois je ne comprends pas comment les gens peuvent encore se tromper"". Elle n'est pas du tout professionnel. Quand je lui ai fais la remarque sur le fait qu'elle avait l'air énervé, elle a voulu raccrocher. La conseillère en question s'appelle Fabienne. Si vous ne n'aimez pas aider les gens ou répondre à leur question quite a vous répéter ne travailler pas le social. Merci","5 Rue de Quimper, 68100 Mulhouse",0,étoile mettrai conseiller indemnisation désagréable téléphone air agacer rappel info échange mail mail commentaire genre chose mois comprend professionnel luire remarque air conseiller question fabien question quite social
1,Une conseillère carrément hautaine au téléphone je faisais les démarches pour mon conjoint et celle-ci se permet de me parler d'une façon plus que méprisable cela donne vraiment envie de téléphoner.,"5 Rue de Quimper, 68100 Mulhouse",0,conseiller hautain téléphone démarche conjoint méprisable celer vraiment envie
1,Les travailleurs sous-scolarisés ont un fouillis de documents.,"5 Rue de Quimper, 68100 Mulhouse",0,travailleur fouillis document
1,Mauvaise expérience avec cette établissement. Et plus en général avec pôle emploi.,"5 Rue de Quimper, 68100 Mulhouse",0,mauvais expérience établissement général pôle emploi
1,On a un rendez-vous mais on doit attendre encore 40 minutes ses inaccessible .!,"5 Rue de Quimper, 68100 Mulhouse",0,rendez-vous minute inaccessible
1,"Bonjour, en ce moment il n'y a pas de Pôle emploi dans cette région","5 Rue de Quimper, 68100 Mulhouse",0,bonjour moment pôle région
1,Cette agence a été déplacée rue de Quimper.,"5 Rue de Quimper, 68100 Mulhouse",0,agence rue
1,Impossible de prendre rendez-vous avec les conseillés via le site. La personne à l'accueil n'est pas conciliante et ne m'a pas permis de ré-imprimer mon papier de PPAE dans les locaux malgré les postes libres mis à disposition. Les documents fournis sur mon compte ont été pris en compte mais pas relier avec mes document à fournir. A mon 1er rendez-vous j'ai attendue 30min pour être prise.  Vraiment nul.,"7 Rue Jean Fougerat, 16000 Angoulême",0,impossible rendez-vous conseillé site accueil conciliant papier ppae local poste libre disposition document compte compte relier document rendez-vous 30min pris vraiment
1,Toujours bloqué pour la démarche effectué et toujours pas moyen que l'on m'explique même après plusieurs demandes,"7 Rue Jean Fougerat, 16000 Angoulême",0,démarche moyen demande
